,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
60,2017,Mitchell Trubisky,2,2022-10-02,L,7,13,84,0,1,41.8,3,1,1,0,0
61,2017,Mitchell Trubisky,2,2022-10-16,W,9,12,144,1,0,142.4,1,6,5,0,0
62,2017,Mitchell Trubisky,2,2022-12-11,L,22,30,276,1,3,73.1,1,0,0,0,0
63,2017,Mitchell Trubisky,2,2022-12-18,W,17,22,179,0,0,100.4,1,6,9,1,0
64,2017,Mitchell Trubisky,2,2023-10-01,L,3,5,18,0,0,67.1,0,0,0,0,0
65,2017,Mitchell Trubisky,2,2023-10-29,L,15,27,138,1,2,51.2,2,3,18,0,0
66,2017,Mitchell Trubisky,2,2023-12-03,L,11,17,117,1,0,104.3,0,3,5,0,1
67,2017,Mitchell Trubisky,2,2023-12-07,L,22,35,190,1,1,74.7,2,8,30,1,0
68,2017,Mitchell Trubisky,2,2023-12-16,L,16,23,169,1,2,68.9,3,2,1,1,0
69,2017,Patrick Mahomes,10,2017-12-31,W,22,35,284,0,1,76.4,2,7,10,0,0
70,2017,Patrick Mahomes,10,2018-09-09,W,15,27,256,4,0,127.5,1,5,21,0,0
71,2017,Patrick Mahomes,10,2018-09-16,W,23,28,326,6,0,154.8,1,5,18,0,1
72,2017,Patrick Mahomes,10,2018-09-23,W,24,38,314,3,0,115.5,2,5,7,0,1
73,2017,Patrick Mahomes,10,2018-10-01,W,28,45,304,1,0,89.5,1,3,7,1,1
74,2017,Patrick Mahomes,10,2018-10-07,W,22,38,313,0,2,62.7,1,4,13,1,0
75,2017,Patrick Mahomes,10,2018-10-14,L,23,36,352,4,2,110.0,0,2,9,0,0
76,2017,Patrick Mahomes,10,2018-10-21,W,28,39,358,4,1,123.7,2,4,45,0,2
77,2017,Patrick Mahomes,10,2018-10-28,W,24,34,303,4,1,125.0,2,2,-1,0,0
78,2017,Patrick Mahomes,10,2018-11-04,W,23,32,375,3,1,129.0,2,2,18,0,0
79,2017,Patrick Mahomes,10,2018-11-11,W,21,28,249,2,0,125.4,5,4,21,0,0
80,2017,Patrick Mahomes,10,2018-11-19,L,33,46,478,6,3,117.6,3,6,28,0,2
81,2017,Patrick Mahomes,10,2018-12-02,W,23,38,295,4,0,120.0,0,9,52,0,0
82,2017,Patrick Mahomes,10,2018-12-09,W,35,53,377,2,1,91.5,3,2,-3,0,1
83,2017,Patrick Mahomes,10,2018-12-13,L,24,34,243,2,0,110.3,2,2,3,0,1
84,2017,Patrick Mahomes,10,2018-12-23,L,23,40,273,3,0,103.4,1,3,33,0,0
85,2017,Patrick Mahomes,10,2018-12-30,W,14,24,281,2,1,109.9,0,2,1,0,0
86,2017,Patrick Mahomes,10,2019-09-08,W,25,33,378,3,0,143.2,0,1,2,0,0
87,2017,Patrick Mahomes,10,2019-09-15,W,30,44,443,4,0,131.2,2,1,-1,0,1
