,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
0,Baker Mayfield,1,2018-09-20,W,17.0,23.0,201.0,0.0,0.0,100.1,1.0,2.0,-2.0,0.0,1.0
1,Baker Mayfield,1,2018-09-30,L,21.0,41.0,295.0,2.0,2.0,70.7,2.0,4.0,10.0,0.0,2.0
2,Baker Mayfield,1,2018-10-07,W,25.0,43.0,342.0,1.0,1.0,81.7,5.0,2.0,23.0,0.0,0.0
3,Baker Mayfield,1,2018-10-14,L,22.0,46.0,238.0,1.0,2.0,52.6,5.0,2.0,8.0,0.0,0.0
4,Baker Mayfield,1,2018-10-21,L,23.0,34.0,215.0,2.0,0.0,104.4,5.0,4.0,43.0,0.0,1.0
5,Baker Mayfield,1,2018-10-28,L,22.0,36.0,180.0,2.0,1.0,80.8,2.0,1.0,9.0,0.0,0.0
6,Baker Mayfield,1,2018-11-04,L,29.0,42.0,297.0,2.0,1.0,95.0,2.0,0.0,0.0,0.0,0.0
7,Baker Mayfield,1,2018-11-11,W,17.0,20.0,216.0,3.0,0.0,151.2,0.0,6.0,20.0,0.0,1.0
8,Baker Mayfield,1,2018-11-25,W,19.0,26.0,258.0,4.0,0.0,143.9,0.0,4.0,-4.0,0.0,0.0
9,Baker Mayfield,1,2018-12-02,L,29.0,43.0,397.0,1.0,3.0,75.4,0.0,0.0,0.0,0.0,0.0
10,Baker Mayfield,1,2018-12-09,W,18.0,22.0,238.0,1.0,0.0,126.9,1.0,4.0,2.0,0.0,1.0
11,Baker Mayfield,1,2018-12-15,W,18.0,31.0,188.0,2.0,1.0,83.8,2.0,4.0,6.0,0.0,1.0
12,Baker Mayfield,1,2018-12-23,W,27.0,37.0,284.0,3.0,0.0,121.9,0.0,6.0,16.0,0.0,0.0
13,Baker Mayfield,1,2018-12-30,L,23.0,42.0,376.0,3.0,3.0,79.1,0.0,0.0,0.0,0.0,0.0
14,Baker Mayfield,1,2019-09-08,L,25.0,38.0,285.0,1.0,3.0,64.0,5.0,0.0,0.0,0.0,0.0
15,Baker Mayfield,1,2019-09-16,W,19.0,35.0,325.0,1.0,1.0,83.6,3.0,0.0,0.0,0.0,0.0
16,Baker Mayfield,1,2019-09-22,L,18.0,36.0,195.0,1.0,1.0,64.0,3.0,1.0,-1.0,0.0,1.0
17,Baker Mayfield,1,2019-09-29,W,20.0,30.0,342.0,1.0,1.0,102.4,1.0,3.0,1.0,0.0,0.0
18,Baker Mayfield,1,2019-10-07,L,8.0,22.0,100.0,0.0,2.0,13.4,4.0,0.0,0.0,0.0,2.0
19,Baker Mayfield,1,2019-10-13,L,22.0,37.0,249.0,1.0,3.0,54.9,0.0,4.0,35.0,1.0,0.0
20,Baker Mayfield,1,2019-10-27,L,20.0,31.0,194.0,1.0,1.0,79.2,5.0,1.0,18.0,0.0,0.0
