,Name,Draft Pick,Date,Game Result (W/L),Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
68,Tua Tagovailoa,5,2020-12-26,W,17,22,94,1,0,99.4,3,3,11,0,0
69,Tua Tagovailoa,5,2021-01-03,L,35,58,361,1,3,62.5,1,6,28,0,0
70,Tua Tagovailoa,5,2021-09-12,W,16,27,202,1,1,79.6,2,4,1,1,0
71,Tua Tagovailoa,5,2021-09-19,L,1,4,13,0,0,40.6,2,0,0,0,0
72,Tua Tagovailoa,5,2021-10-17,L,33,47,329,2,1,95.1,0,3,22,0,0
73,Tua Tagovailoa,5,2021-10-24,L,32,40,291,4,2,109.5,1,4,29,0,0
74,Tua Tagovailoa,5,2021-10-31,L,21,39,205,0,1,58.2,2,4,10,1,1
75,Tua Tagovailoa,5,2021-11-21,W,27,33,273,2,1,108.7,0,3,6,0,0
76,Tua Tagovailoa,5,2021-11-28,W,27,31,230,1,0,108.3,2,4,0,0,2
77,Tua Tagovailoa,5,2021-12-05,W,30,41,244,2,0,104.1,2,2,1,0,0
78,Tua Tagovailoa,5,2021-12-19,W,16,27,196,2,2,75.5,1,7,19,0,1
79,Tua Tagovailoa,5,2021-12-27,W,19,26,198,1,1,91.5,2,1,1,0,1
80,Tua Tagovailoa,5,2022-01-02,L,18,38,205,0,1,53.1,4,2,1,0,3
81,Tua Tagovailoa,5,2022-01-09,W,15,22,109,1,0,94.7,1,5,38,0,0
82,Tua Tagovailoa,5,2022-09-11,W,23,33,270,1,0,104.4,3,2,0,0,1
83,Tua Tagovailoa,5,2022-09-18,W,36,50,469,6,2,124.1,1,1,1,0,0
84,Tua Tagovailoa,5,2022-09-25,W,13,18,186,1,0,123.8,1,1,0,0,0
85,Tua Tagovailoa,5,2022-09-29,L,8,14,110,0,1,52.7,1,0,0,0,0
86,Tua Tagovailoa,5,2022-10-23,W,21,35,261,1,0,92.7,0,4,15,0,0
87,Tua Tagovailoa,5,2022-10-30,W,29,36,382,3,0,138.7,2,5,19,0,0
88,Tua Tagovailoa,5,2022-11-06,W,21,30,302,3,0,135.7,0,5,0,0,1
89,Tua Tagovailoa,5,2022-11-13,W,25,32,285,3,0,135.0,0,1,0,0,0
90,Tua Tagovailoa,5,2022-11-27,W,22,36,299,1,0,96.9,4,0,0,0,0
91,Tua Tagovailoa,5,2022-12-04,L,18,33,295,2,2,79.7,3,0,0,0,1
92,Tua Tagovailoa,5,2022-12-11,L,10,28,145,1,0,65.3,2,3,28,0,0
93,Tua Tagovailoa,5,2022-12-17,L,17,30,234,2,0,104.0,2,1,7,0,1
94,Tua Tagovailoa,5,2022-12-25,L,16,25,310,1,3,80.8,2,1,0,0,2
95,Tua Tagovailoa,5,2023-09-10,W,28,45,466,3,1,110.0,0,5,5,0,2
96,Tua Tagovailoa,5,2023-09-17,W,21,30,249,1,1,92.2,1,4,3,0,2
97,Tua Tagovailoa,5,2023-09-24,W,23,26,309,4,0,155.8,0,0,0,0,0
98,Tua Tagovailoa,5,2023-10-01,L,25,35,282,1,1,92.8,4,2,7,0,1
99,Tua Tagovailoa,5,2023-10-08,W,22,30,308,2,2,100.4,1,2,6,0,0
100,Tua Tagovailoa,5,2023-10-15,W,21,31,262,3,0,126.0,0,1,0,0,1
101,Tua Tagovailoa,5,2023-10-22,L,23,32,216,1,1,87.5,3,1,-3,0,0
102,Tua Tagovailoa,5,2023-10-29,W,30,45,324,3,1,100.6,2,6,8,0,1
103,Tua Tagovailoa,5,2023-11-05,L,21,34,193,1,0,87.0,3,2,7,0,1
104,Tua Tagovailoa,5,2023-11-19,W,28,39,325,2,1,103.0,1,2,6,0,1
105,Tua Tagovailoa,5,2023-11-24,W,21,30,243,1,2,77.5,2,2,1,0,1
106,Tua Tagovailoa,5,2023-12-03,W,18,24,280,2,0,141.0,0,0,0,0,0
107,Tua Tagovailoa,5,2023-12-11,L,23,33,240,0,0,90.5,5,3,15,0,2
108,Tua Tagovailoa,5,2023-12-17,W,21,24,224,1,0,119.4,3,0,0,0,0
109,Tua Tagovailoa,5,2023-12-24,W,24,37,293,1,0,98.1,1,2,-2,0,1
