,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
0,2015,Jameis Winston,1,2015-09-13,L,16,33,210,2,2,64.0,4,6,18,0,2
1,2015,Jameis Winston,1,2015-09-20,W,14,21,207,1,0,114.6,3,6,23,1,1
2,2015,Jameis Winston,1,2015-09-27,L,17,36,261,1,1,69.3,0,0,0,0,0
3,2015,Jameis Winston,1,2015-10-04,L,26,43,287,2,4,57.0,2,4,12,0,0
4,2015,Jameis Winston,1,2015-10-11,W,13,19,209,1,0,122.5,2,4,9,0,0
5,2015,Jameis Winston,1,2015-10-25,L,21,29,297,2,0,128.1,1,1,5,0,1
6,2015,Jameis Winston,1,2015-11-01,W,16,29,177,1,0,85.0,2,3,24,1,0
7,2015,Jameis Winston,1,2015-11-08,L,19,36,247,0,0,74.7,0,3,24,1,0
8,2015,Jameis Winston,1,2015-11-15,W,22,39,264,0,2,55.9,2,3,3,1,0
9,2015,Jameis Winston,1,2015-11-22,W,19,29,246,5,0,131.6,1,4,0,0,1
10,2015,Jameis Winston,1,2015-11-29,L,20,36,245,1,1,74.4,5,3,27,0,0
11,2015,Jameis Winston,1,2015-12-06,W,18,27,227,1,1,89.6,1,5,15,1,0
12,2015,Jameis Winston,1,2015-12-13,L,18,32,182,1,0,83.1,1,3,24,0,0
13,2015,Jameis Winston,1,2015-12-17,L,29,50,363,2,1,85.7,0,2,5,0,1
14,2015,Jameis Winston,1,2015-12-27,L,15,29,295,2,1,96.2,1,4,10,0,0
15,2015,Jameis Winston,1,2016-01-03,L,29,47,325,0,2,64.6,2,3,14,1,0
16,2015,Jameis Winston,1,2016-09-11,W,23,32,281,4,1,125.1,0,4,3,0,0
17,2015,Jameis Winston,1,2016-09-18,L,27,52,243,1,4,39.2,3,3,9,0,1
18,2015,Jameis Winston,1,2016-09-25,L,36,58,405,3,1,93.0,2,4,13,0,1
19,2015,Jameis Winston,1,2016-10-02,L,17,35,179,0,2,40.1,5,5,19,1,1
20,2015,Jameis Winston,1,2016-10-10,W,18,30,219,1,0,93.6,2,4,6,0,1
21,2015,Jameis Winston,1,2016-10-23,W,21,30,269,3,1,117.2,2,1,-1,0,0
22,2015,Jameis Winston,1,2016-10-30,L,16,32,180,2,0,88.0,2,3,16,0,0
23,2015,Jameis Winston,1,2016-11-03,L,23,37,261,3,0,110.3,2,3,11,0,1
24,2015,Jameis Winston,1,2016-11-13,W,23,33,312,2,1,107.1,4,0,0,0,0
25,2015,Jameis Winston,1,2016-11-20,W,24,39,331,1,0,97.3,1,5,22,0,2
26,2015,Jameis Winston,1,2016-11-27,W,21,28,220,2,1,106.3,0,5,12,0,0
27,2015,Jameis Winston,1,2016-12-04,W,20,30,280,1,1,93.7,1,4,1,0,0
28,2015,Jameis Winston,1,2016-12-11,W,16,26,184,0,0,82.9,2,5,16,0,0
29,2015,Jameis Winston,1,2016-12-18,L,17,35,247,2,3,55.3,4,1,6,0,2
30,2015,Jameis Winston,1,2016-12-24,L,23,35,277,2,2,85.1,2,3,14,0,0
31,2015,Jameis Winston,1,2017-01-01,W,20,35,202,1,1,71.4,3,3,18,0,1
32,2015,Jameis Winston,1,2017-09-17,W,18,30,204,1,0,91.5,2,1,3,0,0
33,2015,Jameis Winston,1,2017-09-24,L,28,40,328,2,3,80.0,2,1,4,0,2
34,2015,Jameis Winston,1,2017-10-01,W,22,38,332,3,0,113.0,1,4,12,0,1
35,2015,Jameis Winston,1,2017-10-05,L,26,46,334,1,0,86.7,2,3,11,0,2
36,2015,Jameis Winston,1,2017-10-15,L,5,10,61,0,0,69.2,0,0,0,0,0
37,2015,Jameis Winston,1,2017-10-22,L,32,44,384,3,1,112.3,1,1,0,0,2
38,2015,Jameis Winston,1,2017-10-29,L,21,38,210,0,2,49.2,3,3,13,0,1
39,2015,Jameis Winston,1,2017-11-05,L,7,13,67,0,0,68.4,2,2,8,0,0
40,2015,Jameis Winston,1,2017-12-03,L,21,32,270,2,0,112.8,7,5,18,0,2
41,2015,Jameis Winston,1,2017-12-10,L,26,38,285,2,2,86.0,3,2,10,0,1
42,2015,Jameis Winston,1,2017-12-18,L,27,35,299,3,0,130.5,2,3,18,0,1
43,2015,Jameis Winston,1,2017-12-24,L,21,27,367,1,0,131.1,6,3,6,0,3
44,2015,Jameis Winston,1,2017-12-31,W,28,51,363,1,3,59.5,2,5,32,1,0
45,2015,Jameis Winston,1,2018-09-30,L,16,20,145,1,2,74.0,2,1,7,0,0
46,2015,Jameis Winston,1,2018-10-14,L,30,41,395,4,2,115.4,2,5,29,0,2
